Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9
11,beef,citrus fruit,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,coffee,soda
4,chicken,other vegetables,white wine,specialty chocolate,,,,,
26,sausage,finished products,tropical fruit,pip fruit,other vegetables,butter,curd,dessert,butter milk
7,citrus fruit,whole milk,butter,dessert,UHT-milk,flower (seeds),shopping bags,,
3,ice cream,coffee,waffles,,,,,,
1,specialty chocolate,,,,,,,,
13,frankfurter,herbs,yogurt,UHT-milk,mayonnaise,frozen vegetables,margarine,bottled water,soda
1,pork,,,,,,,,
4,UHT-milk,vinegar,waffles,chocolate,,,,,
8,UHT-milk,domestic eggs,brown bread,coffee,soda,canned beer,liquor (appetizer),newspapers,
1,cookware,,,,,,,,
5,citrus fruit,butter,UHT-milk,margarine,bottled beer,,,,
11,sausage,hamburger meat,tropical fruit,onions,other vegetables,butter,yogurt,white bread,brown bread
9,frankfurter,root vegetables,other vegetables,domestic eggs,rolls/buns,pastry,soups,Instant food products,bottled water
7,citrus fruit,yogurt,UHT-milk,cream cheese,dish cleaner,house keeping products,shopping bags,,
11,ham,whole milk,processed cheese,white bread,semi-finished bread,bottled water,soda,fruit/vegetable juice,popcorn
8,ham,chicken,citrus fruit,pip fruit,herbs,other vegetables,butter,napkins,
2,bottled water,canned beer,,,,,,,
2,popcorn,candy,,,,,,,
6,tropical fruit,pip fruit,other vegetables,cream cheese,soda,bottled beer,,,
10,frankfurter,sausage,UHT-milk,frozen meals,frozen dessert,domestic eggs,rolls/buns,pastry,mustard
7,hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate,,
2,soda,candy,,,,,,,
6,sausage,root vegetables,rolls/buns,bottled water,white wine,flower (seeds),,,
7,yogurt,sliced cheese,frozen vegetables,frozen meals,pickled vegetables,coffee,instant coffee,,
16,meat,other vegetables,whole milk,yogurt,soft cheese,sliced cheese,domestic eggs,margarine,cat food
1,red/blush wine,,,,,,,,
2,UHT-milk,instant coffee,,,,,,,
1,brown bread,,,,,,,,
1,semi-finished bread,,,,,,,,
4,whole milk,soda,misc. beverages,shopping bags,,,,,
3,cat food,dish cleaner,shopping bags,,,,,,
17,citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert
9,citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products
7,meat,other vegetables,packaged fruit/vegetables,cream cheese,margarine,bottled water,salty snack,,
1,rolls/buns,,,,,,,,
5,root vegetables,whipped/sour cream,salt,fruit/vegetable juice,salty snack,,,,
6,tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer,,,
5,brown bread,oil,sugar,soda,bottled beer,,,,
1,shopping bags,,,,,,,,
4,grapes,brown bread,bottled beer,white wine,,,,,
6,ham,tropical fruit,cream cheese,processed cheese,white bread,candy,,,
2,root vegetables,skin care,,,,,,,
5,ice cream,misc. beverages,canned beer,napkins,shopping bags,,,,
5,tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,
4,finished products,other vegetables,soda,fruit/vegetable juice,,,,,
1,dessert,,,,,,,,
1,sparkling wine,,,,,,,,
4,other vegetables,yogurt,oil,dental care,,,,,
1,misc. beverages,,,,,,,,
2,other vegetables,nut snack,,,,,,,
1,misc. beverages,,,,,,,,
6,dessert,yogurt,UHT-milk,soda,canned beer,light bulbs,,,
7,frankfurter,tropical fruit,cream cheese,rolls/buns,fruit/vegetable juice,kitchen towels,newspapers,,
10,sausage,citrus fruit,pip fruit,yogurt,beverages,sliced cheese,sugar,bottled water,soda
7,meat,citrus fruit,root vegetables,other vegetables,whipped/sour cream,semi-finished bread,salty snack,,
7,sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds),,
1,onions,,,,,,,,
15,beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese
9,pip fruit,other vegetables,butter,yogurt,whipped/sour cream,brown bread,pastry,fruit/vegetable juice,detergent
11,ham,hamburger meat,onions,other vegetables,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread
2,yogurt,newspapers,,,,,,,
5,citrus fruit,grapes,curd,bottled water,waffles,,,,
2,other vegetables,sugar,,,,,,,
4,pork,frozen meals,frozen fish,shopping bags,,,,,
1,bathroom cleaner,,,,,,,,
8,ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder,
9,grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine
1,pastry,,,,,,,,
4,citrus fruit,bottled water,red/blush wine,photo/film,,,,,
1,photo/film,,,,,,,,
2,dessert,white bread,,,,,,,
4,citrus fruit,tropical fruit,pip fruit,long life bakery product,,,,,
1,soda,,,,,,,,
1,chewing gum,,,,,,,,
4,root vegetables,sliced cheese,soda,bottled beer,,,,,
2,pork,other vegetables,,,,,,,
4,turkey,whole milk,UHT-milk,fruit/vegetable juice,,,,,
5,tropical fruit,other vegetables,soda,candy,shopping bags,,,,
11,sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins
9,sausage,meat,other vegetables,brown bread,canned fish,bottled water,canned beer,liquor (appetizer),shopping bags
14,pork,tropical fruit,other vegetables,dessert,yogurt,roll products,flour,rice,coffee
6,sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags,,,
3,grapes,chocolate,light bulbs,,,,,,
5,grapes,pastry,salty snack,light bulbs,shopping bags,,,,
6,other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics,,,
1,potted plants,,,,,,,,
2,bottled water,potted plants,,,,,,,
3,prosecco,hygiene articles,potted plants,,,,,,
4,UHT-milk,soda,dish cleaner,napkins,,,,,
5,bottled water,soda,chewing gum,specialty chocolate,candy,,,,
3,rolls/buns,canned fish,canned beer,,,,,,
1,specialty chocolate,,,,,,,,
10,beef,other vegetables,butter milk,yogurt,whipped/sour cream,cream cheese,white bread,fruit/vegetable juice,bottled beer
3,tropical fruit,pasta,bottled water,,,,,,
7,beef,root vegetables,other vegetables,butter,yogurt,rolls/buns,flour,,
2,rolls/buns,white wine,,,,,,,
5,berries,root vegetables,whipped/sour cream,roll products,bottled beer,,,,
8,sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles,
6,chicken,pork,beef,whole milk,curd,whipped/sour cream,,,
10,sausage,citrus fruit,whole milk,cream cheese,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice
1,shopping bags,,,,,,,,
1,canned beer,,,,,,,,
2,soda,canned beer,,,,,,,
3,yogurt,UHT-milk,rolls/buns,,,,,,
3,rolls/buns,red/blush wine,newspapers,,,,,,
2,rolls/buns,coffee,,,,,,,
2,whole milk,brown bread,,,,,,,
15,citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese
6,citrus fruit,tropical fruit,grapes,whole milk,brown bread,pastry,,,
2,brown bread,chocolate,,,,,,,
9,tropical fruit,other vegetables,whipped/sour cream,UHT-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels
12,frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water
1,coffee,,,,,,,,
4,ham,rolls/buns,bottled beer,chewing gum,,,,,
5,other vegetables,curd,yogurt,pickled vegetables,bottled water,,,,
5,sausage,whole milk,curd,butter milk,whipped/sour cream,,,,
6,pork,whole milk,margarine,soda,canned beer,newspapers,,,
5,citrus fruit,yogurt,whipped/sour cream,soda,cookware,,,,
5,tropical fruit,whole milk,domestic eggs,pastry,hygiene articles,,,,
3,other vegetables,yogurt,cream cheese,,,,,,
6,pork,whole milk,sugar,soda,long life bakery product,chocolate,,,
16,chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine
5,root vegetables,whole milk,yogurt,rolls/buns,potted plants,,,,
4,citrus fruit,cake bar,baby cosmetics,shopping bags,,,,,
1,fruit/vegetable juice,,,,,,,,
5,beef,tropical fruit,whole milk,ice cream,cat food,,,,
32,frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables
12,frankfurter,pip fruit,other vegetables,yogurt,spread cheese,rolls/buns,white bread,pastry,coffee
9,beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer
15,ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert
1,shopping bags,,,,,,,,
10,pork,root vegetables,other vegetables,specialty fat,sugar,baking powder,cat food,salty snack,waffles
5,condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner,,,,
4,chicken,bottled beer,red/blush wine,newspapers,,,,,
5,sausage,meat,butter,domestic eggs,cat food,,,,
2,bottled beer,potted plants,,,,,,,
9,chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar
8,finished products,other vegetables,whole milk,whipped/sour cream,margarine,cereals,soda,salty snack,
19,pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese
4,root vegetables,whole milk,yogurt,frozen potato products,,,,,
3,domestic eggs,seasonal products,shopping bags,,,,,,
4,domestic eggs,specialty bar,seasonal products,shopping bags,,,,,
2,bottled water,soda,,,,,,,
1,cling film/bags,,,,,,,,
7,other vegetables,rolls/buns,bottled water,fruit/vegetable juice,canned beer,whisky,shopping bags,,
1,whole milk,,,,,,,,
12,sausage,meat,pork,whole milk,butter,whipped/sour cream,frozen vegetables,frozen dessert,white bread
5,sausage,mayonnaise,rolls/buns,canned beer,shopping bags,,,,
4,tropical fruit,sliced cheese,domestic eggs,zwieback,,,,,
10,frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware
2,frozen potato products,potted plants,,,,,,,
4,frankfurter,sausage,packaged fruit/vegetables,soda,,,,,
3,frankfurter,other vegetables,zwieback,,,,,,
13,chicken,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,dessert,yogurt,whipped/sour cream
7,tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds),,
1,bottled beer,,,,,,,,
6,citrus fruit,grapes,rolls/buns,pastry,coffee,soda,,,
9,hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags
6,chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers,,,
1,pork,,,,,,,,
1,rolls/buns,,,,,,,,
1,bottled water,,,,,,,,
11,sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,Instant food products,coffee
3,frozen potato products,bottled water,soda,,,,,,
12,frankfurter,whole milk,whipped/sour cream,curd cheese,domestic eggs,margarine,baking powder,cat food,bottled water
18,sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder
4,tropical fruit,dessert,sweet spreads,fruit/vegetable juice,,,,,
1,bottled beer,,,,,,,,
1,bottled beer,,,,,,,,
2,rolls/buns,brown bread,,,,,,,
4,citrus fruit,tropical fruit,whole milk,coffee,,,,,
2,yogurt,softener,,,,,,,
17,turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk
2,soda,softener,,,,,,,
1,canned beer,,,,,,,,
1,canned beer,,,,,,,,
3,sausage,other vegetables,whole milk,,,,,,
10,pork,root vegetables,whole milk,curd,whipped/sour cream,rolls/buns,white bread,canned vegetables,soda
1,Instant food products,,,,,,,,
10,frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda
3,oil,dental care,newspapers,,,,,,
5,chicken,hamburger meat,other vegetables,rolls/buns,shopping bags,,,,
5,beef,domestic eggs,rolls/buns,flour,candy,,,,
8,dessert,UHT-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags,
6,pork,citrus fruit,other vegetables,domestic eggs,margarine,canned beer,,,
5,curd,whipped/sour cream,flour,baking powder,newspapers,,,,
2,chicken,red/blush wine,,,,,,,
1,whipped/sour cream,,,,,,,,
10,frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread
7,frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags,,
5,liver loaf,root vegetables,pet care,waffles,chocolate,,,,
7,pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags,,
9,frankfurter,liver loaf,turkey,UHT-milk,pasta,waffles,chocolate,dental care,dishes
10,pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers
14,pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese
1,soda,,,,,,,,
5,root vegetables,rolls/buns,margarine,soda,bottled beer,,,,
4,whipped/sour cream,beverages,fruit/vegetable juice,chocolate,,,,,
1,chocolate,,,,,,,,
3,whole milk,frozen vegetables,specialty chocolate,,,,,,
6,pork,beef,whole milk,curd,rolls/buns,pastry,,,
2,coffee,shopping bags,,,,,,,
2,rolls/buns,waffles,,,,,,,
9,citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food
4,citrus fruit,yogurt,brown bread,pasta,,,,,
5,soda,chocolate,specialty chocolate,newspapers,shopping bags,,,,
2,cream cheese,rolls/buns,,,,,,,
1,soda,,,,,,,,
4,chicken,whipped/sour cream,coffee,shopping bags,,,,,
1,frozen fish,,,,,,,,
8,sausage,meat,chicken,root vegetables,other vegetables,whole milk,salt,salty snack,
5,beef,berries,other vegetables,white bread,shopping bags,,,,
11,ham,whole milk,hard cheese,frozen meals,rolls/buns,rice,soups,baking powder,canned vegetables
10,chicken,pork,root vegetables,onions,packaged fruit/vegetables,butter,hard cheese,salt,bottled water
9,herbs,other vegetables,whole milk,butter,white bread,margarine,misc. beverages,hygiene articles,shopping bags
2,grapes,root vegetables,,,,,,,
5,tropical fruit,pip fruit,whole milk,chewing gum,chocolate,,,,
13,frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine
7,onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags,,
11,sausage,organic sausage,citrus fruit,berries,yogurt,whipped/sour cream,domestic eggs,rolls/buns,canned vegetables
7,citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers,,
8,hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags,
13,frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour
2,sausage,pork,,,,,,,
3,root vegetables,other vegetables,yogurt,,,,,,
3,oil,dish cleaner,newspapers,,,,,,
1,canned beer,,,,,,,,
1,newspapers,,,,,,,,
6,pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels,,,
1,coffee,,,,,,,,
2,red/blush wine,specialty chocolate,,,,,,,
4,onions,vinegar,pet care,specialty bar,,,,,
10,frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry
11,meat,beef,tropical fruit,pip fruit,berries,other vegetables,whole milk,white bread,brown bread
6,whole milk,canned fish,soda,bottled beer,hygiene articles,candles,,,
2,dessert,dishes,,,,,,,
3,hamburger meat,baking powder,sweet spreads,,,,,,
3,chewing gum,napkins,dishes,,,,,,
4,bottled water,fruit/vegetable juice,bottled beer,prosecco,,,,,
4,beverages,pastry,long life bakery product,chocolate marshmallow,,,,,
9,whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack
14,citrus fruit,pip fruit,grapes,other vegetables,dessert,butter milk,yogurt,domestic eggs,flour
7,tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner,,
2,cat food,soda,,,,,,,
4,whole milk,beverages,pastry,soda,,,,,
2,soda,fruit/vegetable juice,,,,,,,
3,sausage,yogurt,salty snack,,,,,,
14,root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese,domestic eggs,brown bread
6,berries,other vegetables,butter milk,yogurt,soda,newspapers,,,
1,other vegetables,,,,,,,,
6,sausage,pip fruit,root vegetables,bottled beer,abrasive cleaner,light bulbs,,,
3,beverages,bottled water,misc. beverages,,,,,,
5,chicken,root vegetables,roll products,vinegar,shopping bags,,,,
3,whole milk,yogurt,chocolate,,,,,,
5,sausage,hard cheese,rolls/buns,canned vegetables,dog food,,,,
14,ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread
2,whole milk,brown bread,,,,,,,
5,root vegetables,onions,whole milk,bottled water,dishes,,,,
2,citrus fruit,frozen potato products,,,,,,,
17,frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine
3,ice cream,salty snack,waffles,,,,,,
17,sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt
4,root vegetables,fruit/vegetable juice,long life bakery product,potted plants,,,,,
19,ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese
1,coffee,,,,,,,,
5,citrus fruit,frozen meals,canned beer,red/blush wine,salty snack,,,,
1,potted plants,,,,,,,,
2,other vegetables,chocolate,,,,,,,
3,whole milk,white bread,pastry,,,,,,
4,zwieback,oil,mustard,chocolate,,,,,
6,chicken,other vegetables,whole milk,domestic eggs,pastry,canned beer,,,
3,butter,yogurt,dog food,,,,,,
12,ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar
5,whole milk,butter milk,soda,chewing gum,shopping bags,,,,
4,citrus fruit,misc. beverages,liquor,cling film/bags,,,,,
7,ham,herbs,other vegetables,curd,yogurt,cream cheese,light bulbs,,
1,canned beer,,,,,,,,
5,frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,
4,chicken,tropical fruit,candy,shopping bags,,,,,
2,frankfurter,bottled beer,,,,,,,
1,bottled beer,,,,,,,,
4,other vegetables,cream cheese,coffee,dishes,,,,,
1,frozen potato products,,,,,,,,
2,chicken,whole milk,,,,,,,
11,sausage,meat,grapes,other vegetables,yogurt,soft cheese,domestic eggs,rolls/buns,margarine
1,canned beer,,,,,,,,
2,yogurt,chocolate,,,,,,,
3,frozen meals,pet care,soda,,,,,,
3,canned fruit,meat spreads,bottled water,,,,,,
3,butter,waffles,chocolate,,,,,,
5,yogurt,pastry,semi-finished bread,soda,shopping bags,,,,
4,citrus fruit,whole milk,soft cheese,canned beer,,,,,
2,meat,yogurt,,,,,,,
4,root vegetables,butter,frozen vegetables,salty snack,,,,,
7,frankfurter,sausage,whole milk,butter,dessert,pastry,fruit/vegetable juice,,
12,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,frozen meals,white bread,instant coffee,soda,female sanitary products
3,yogurt,sugar,instant coffee,,,,,,
4,root vegetables,other vegetables,white bread,sparkling wine,,,,,
4,yogurt,rolls/buns,pastry,soda,,,,,
1,oil,,,,,,,,
8,citrus fruit,pip fruit,grapes,berries,soft cheese,rolls/buns,oil,shopping bags,
10,beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese,sweet spreads,soda
12,citrus fruit,onions,other vegetables,whole milk,cream cheese,domestic eggs,sugar,bottled water,bottled beer
2,dessert,misc. beverages,,,,,,,
3,curd,jam,shopping bags,,,,,,
1,bottled water,,,,,,,,
4,sausage,domestic eggs,coffee,soda,,,,,
1,herbs,,,,,,,,
4,dog food,soda,fruit/vegetable juice,bottled beer,,,,,
11,packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles
4,frankfurter,pork,specialty fat,specialty bar,,,,,
10,finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray
1,oil,,,,,,,,
1,curd,,,,,,,,
2,herbs,potted plants,,,,,,,
7,sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags,,
3,whole milk,sugar,pudding powder,,,,,,
2,sausage,waffles,,,,,,,
1,soda,,,,,,,,
4,whole milk,bottled water,soda,canned beer,,,,,
9,root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags
1,sugar,,,,,,,,
2,cream cheese,dishes,,,,,,,
6,other vegetables,misc. beverages,long life bakery product,chocolate,candy,shopping bags,,,
2,frozen fruits,detergent,,,,,,,
1,whipped/sour cream,,,,,,,,
1,yogurt,,,,,,,,
